Date,6758.T_Close
2016-11-09,3023.0
2016-11-10,3207.0
2016-11-11,3199.0
2016-11-14,3261.0
2016-11-15,3203.0
2016-11-16,3206.0
2016-11-17,3226.0
2016-11-18,3235.0
2016-11-21,3300.0
2016-11-22,3355.0
2016-11-24,3334.0
2016-11-25,3328.0
2016-11-28,3323.0
2016-11-29,3311.0
2016-11-30,3288.0
2016-12-01,3249.0
2016-12-02,3168.0
2016-12-05,3160.0
2016-12-06,3190.0
2016-12-07,3199.0
2016-12-08,3261.0
2016-12-09,3368.0
2016-12-12,3366.0
2016-12-13,3378.0
2016-12-14,3372.0
2016-12-15,3373.0
2016-12-16,3347.0
2016-12-19,3381.0
2016-12-20,3362.0
2016-12-21,3336.0
2016-12-22,3342.0
2016-12-26,3333.0
2016-12-27,3324.0
2016-12-28,3338.0
2016-12-29,3299.0
2016-12-30,3275.0
2017-01-04,3333.0
2017-01-05,3296.0
2017-01-06,3316.0
2017-01-10,3394.0
2017-01-11,3510.0
2017-01-12,3532.0
2017-01-13,3549.0
2017-01-16,3514.0
2017-01-17,3504.0
2017-01-18,3484.0
2017-01-19,3498.0
2017-01-20,3472.0
2017-01-23,3432.0
2017-01-24,3418.0
2017-01-25,3445.0
2017-01-26,3520.0
2017-01-27,3505.0
2017-01-30,3502.0
2017-01-31,3423.0
2017-02-01,3410.0
2017-02-02,3369.0
2017-02-03,3537.0
2017-02-06,3589.0
2017-02-07,3599.0
2017-02-08,3573.0
2017-02-09,3561.0
2017-02-10,3590.0
2017-02-13,3587.0
2017-02-14,3572.0
2017-02-15,3595.0
2017-02-16,3560.0
2017-02-17,3547.0
2017-02-20,3508.0
2017-02-21,3521.0
2017-02-22,3535.0
2017-02-23,3515.0
2017-02-24,3486.0
2017-02-27,3454.0
2017-02-28,3478.0
2017-03-01,3529.0
2017-03-02,3583.0
2017-03-03,3602.0
2017-03-06,3560.0
2017-03-07,3522.0
2017-03-08,3513.0
2017-03-09,3532.0
2017-03-10,3661.0
2017-03-13,3659.0
2017-03-14,3635.0
2017-03-15,3604.0
2017-03-16,3619.0
2017-03-17,3639.0
2017-03-21,3627.0
2017-03-22,3553.0
2017-03-23,3540.0
2017-03-24,3603.0
2017-03-27,3577.0
2017-03-28,3605.0
2017-03-29,3704.0
2017-03-30,3734.0
2017-03-31,3766.0
2017-04-03,3664.0
2017-04-04,3674.0
2017-04-05,3655.0
2017-04-06,3555.0
2017-04-07,3547.0
2017-04-10,3553.0
2017-04-11,3532.0
2017-04-12,3458.0
2017-04-13,3446.0
2017-04-14,3422.0
2017-04-17,3453.0
2017-04-18,3456.0
2017-04-19,3506.0
2017-04-20,3571.0
2017-04-21,3592.0
2017-04-24,3730.0
2017-04-25,3715.0
2017-04-26,3742.0
2017-04-27,3762.0
2017-04-28,3759.0
2017-05-01,3873.0
2017-05-02,3853.0
2017-05-08,3989.0
